Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Richard L. Watkins,Male,Black,,,No,No,North Carolina,5/17/22,Representative,4,"1,155",1%,,,
Clay Aiken,Male,White,,,No,No,North Carolina,5/17/22,Representative,4,"6,529",7%,,,
Nida Allam,Female,Asian (Indian),Asian (Pakistani),,No,No,North Carolina,5/17/22,Representative,4,"32,731",37%,,,
Kyle Parrish,Male,White,,,No,No,North Carolina,5/17/22,Representative,5,1,100%,,,
Kathy Manning,Female,White,,,Yes,No,North Carolina,5/17/22,Representative,6,1,100%,,,
Charles E. Evans,Male,Black,,,No,No,North Carolina,5/17/22,Representative,7,"12,263",29%,,,
Charles Graham,Male,White,,,No,No,North Carolina,5/17/22,Representative,7,"13,054",31%,,,
Yushonda Midgette,Female,Black,,,No,No,North Carolina,5/17/22,Representative,7,"6,738",16%,,,
Steve Miller,Male,White,,,No,No,North Carolina,5/17/22,Representative,7,"9,744",23%,,,
Scott Huffman,Male,White,,,No,No,North Carolina,5/17/22,Representative,8,1,100%,,,
Ben Clark,Male,Black,,,No,No,North Carolina,5/17/22,Representative,9,1,100%,,,
Michael Felder,Male,White,,,No,No,North Carolina,5/17/22,Representative,10,"3,790",23%,,,
Pam Genant,Female,White,,,No,No,North Carolina,5/17/22,Representative,10,"13,028",77%,,,
Jay Carey,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"3,858",7%,,,
Katie Dean,Female,White,,,No,No,North Carolina,5/17/22,Representative,11,"13,957",26%,,,
Marco Gutierrez,Male,White,Latino,,No,No,North Carolina,5/17/22,Representative,11,"1,040",2%,,,
Bo Hess,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"2,082",4%,,,
Bynum M. Lunsford,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"1,002",2%,,,
Jasmine Beach-Ferrara,Female,White,,,No,No,North Carolina,5/17/22,Representative,11,"32,478",60%,,,
John Sharkey,Male,Black,,,No,Yes,North Carolina,5/17/22,Representative,12,"3,460",8%,,,
Alma S. Adams,Female,Black,,,Yes,No,North Carolina,5/17/22,Representative,12,"37,984",92%,,,
Nathan Click,Male,Black,,,No,No,North Carolina,5/17/22,Representative,13,"3,866",9%,,,
Denton Lee,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"3,311",7%,,,
Wiley Nickel,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"23,155",52%,,,
Sam Searcy,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"10,284",23%,,,
Jamie Campbell Bowles,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,"4,217",9%,,,
Jeff Jackson,Male,White,,,No,No,North Carolina,5/17/22,Representative,14,"34,724",86%,,,
Ram Mammadov,Male,White (Azerbaijani),,,No,No,North Carolina,5/17/22,Representative,14,"5,598",14%,,,
Alex Khalil,Female,Middle Eastern (Palestinian),,,No,No,Pennsylvania,5/17/22,Senator,N/A,"54,460",4%,,,
